{Label: GearOilTemperature_val, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 0.9}
{Label: GearboxOilInletTemperature_val, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 0.9}
{Label: GearboxOilInletPressure_val, Match: Pressure Property, Ontology: SEASGenericProperty, Score: 0.8}
{Label: HssGearBearingGenSideTemperature_val, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 0.9}
{Label: GearboxRotationSpeed_val, Match: Rotational Speed Property, Ontology: SEASGenericProperty, Score: 0.8}
{Label: GearboxOilPumpPressure_val, Match: Pressure Property, Ontology: SEASGenericProperty, Score: 0.8}
{Label: DeltaOilTemperature, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 0.9}
{Label: RatioOilGearTemperature, Match: Ratio Property, Ontology: SEASGenericProperty, Score: 0.7}
{Label: Time [s], Match: Time Property, Ontology: SEASGenericProperty, Score: 0.9}
{Label: Nacelle_Anemometer [m/s], Match: Wind Speed Property, Ontology: SEASGenericProperty, Score: 0.8}
{Label: Nacelle_Vane [deg], Match: Vane, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: PitchControl_AccumulatorsOK, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_Boost, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_EV1, Match: Pitch Proportional Valve, Ontology: EnershareWindturbine.txt, Score: 0.8}
{Label: PitchControl_EV2, Match: Pitch Proportional Valve, Ontology: EnershareWindturbine.txt, Score: 0.8}
{Label: PitchControl_EV3, Match: Pitch Proportional Valve, Ontology: EnershareWindturbine.txt, Score: 0.8}
{Label: PitchControl_EV4, Match: Pitch Proportional Valve, Ontology: EnershareWindturbine.txt, Score: 0.8}
{Label: PitchControl_EV5, Match: Pitch Proportional Valve, Ontology: EnershareWindturbine.txt, Score: 0.8}
{Label: PitchControl_EV6, Match: Pitch Proportional Valve, Ontology: EnershareWindturbine.txt, Score: 0.8}
{Label: PitchControl_Enable, Match: Controller, Ontology: PlatoonWindturbine.txt, Score: 0.7}
{Label: PitchControl_PV_Blade1, Match: Pitch Proportional Valve, Ontology: EnershareWindturbine.txt, Score: 0.9}
{Label: PitchControl_PV_Blade2, Match: Pitch Proportional Valve, Ontology: EnershareWindturbine.txt, Score: 0.9}
{Label: PitchControl_PV_Blade3, Match: Pitch Proportional Valve, Ontology: EnershareWindturbine.txt, Score: 0.9}
{Label: PitchControl_Position_Blade1 [m], Match: Pitch AngleProperty, Ontology: PlatoonWindturbine.txt, Score: 0.8}
{Label: PitchControl_Position_Blade2 [m], Match: Pitch AngleProperty, Ontology: PlatoonWindturbine.txt, Score: 0.8}
{Label: PitchControl_Position_Blade3 [m], Match: Pitch AngleProperty, Ontology: PlatoonWindturbine.txt, Score: 0.8}
{Label: PitchControl_Position_Reference [m], Match: Pitch AngleProperty, Ontology: PlatoonWindturbine.txt, Score: 0.8}
{Label: PitchControl_Pressure_A1_Blade1 [bar], Match: Pressure, Ontology: OntoWind.txt, Score: 0.9}
{Label: PitchControl_Pressure_A1_Blade2 [bar], Match: Pressure, Ontology: OntoWind.txt, Score: 0.9}
{Label: PitchControl_Pressure_A1_Blade3 [bar], Match: Pressure, Ontology: OntoWind.txt, Score: 0.9}
{Label: PitchControl_Pressure_A2_Blade1 [bar], Match: pressure_sensor_measures, Ontology: OntoWind.txt, Score: 0.9}
{Label: PitchControl_Pressure_A2_Blade2 [bar], Match: pressure_sensor_measures, Ontology: OntoWind.txt, Score: 0.9}
{Label: PitchControl_Pressure_A2_Blade3 [bar], Match: pressure_sensor_measures, Ontology: OntoWind.txt, Score: 0.9}
{Label: PitchControl_Status, Match: TurbineStatus, Ontology: OntoWind.txt, Score: 0.8}
{Label: PitchControl_TrackingOK, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PowerUnit_Pressure [bar], Match: pressure_sensor_measures, Ontology: OntoWind.txt, Score: 0.9}
{Label: TurbineControl_Enable, Match: SignalCommand, Ontology: EnershareWindturbine.txt, Score: 0.8}
{Label: TurbineControl_GeneratorPower [W], Match: hasPowerProduction, Ontology: PlatoonEnergy.txt, Score: 0.85}
{Label: TurbineControl_GeneratorSpeed [rpm], Match: hasNominalRotationalSpeed, Ontology: EnershareProperty.txt, Score: 0.8}
{Label: TurbineControl_GeneratorTorque [kNm], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: TurbineControl_PitchAngleDemand [deg], Match: Pitch Control, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: TurbineControl_PitchAngles [deg](1), Match: Pitch System, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: TurbineControl_PitchAngles [deg](2), Match: Pitch System, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: TurbineControl_PitchAngles [deg](3), Match: Pitch System, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: TurbineControl_Run, Match: TurbineStatus, Ontology: OntoWind.txt, Score: 0.8}
{Label: parc_code, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: mac_code, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: date, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: temperature_Data.AmbientTemp, Match: Temperature, Ontology: OntoWind.txt, Score: 0.9}
{Label: temperature_Data.Blade_A_Temp, Match: Temperature, Ontology: OntoWind.txt, Score: 0.9}
{Label: temperature_Data.Blade_B_Temp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.Blade_C_Temp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.CtrlCabinetTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.FrontBearingTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.NacelleAmbientTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.NacelleCtrlCabTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.NacelleTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.NbSamplingValues, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: temperature_Data.RearBearingTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.RectifierCab_Temp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.RotorTemp_1, Match: has temperature rotor side, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: temperature_Data.RotorTemp_2, Match: has temperature rotor side, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: temperature_Data.SpinnerTemp, Match: Temperature Property, Ontology: SEASGenericProperty.txt, Score: 0.8}
{Label: temperature_Data.StatorTemp_1, Match: Stator Winding, Ontology: PlatoonWindturbine.txt, Score: 0.7}
{Label: temperature_Data.StatorTemp_2, Match: Stator Winding, Ontology: PlatoonWindturbine.txt, Score: 0.7}
{Label: temperature_Data.TempBlade_A_PitchHeatSink, Match: Temperature Property, Ontology: SEASGenericProperty.txt, Score: 1}
{Label: temperature_Data.TempBlade_B_PitchHeatSink, Match: Temperature Property, Ontology: SEASGenericProperty.txt, Score: 1}
